LeadID,Region,CustomerSegment,Industry,Product,DealSize,MarketingSpend,LeadScore,Converted,ConversionRate,ExpectedRevenue
80,West,Enterprise,Tech,ERP,28640.0,1322.0,0.14,1,0.27702702702702703,7934.054054054054
81,East,MidMarket,Healthcare,CRM,16171.0,2148.0,0.07,0,0.3241758241758242,5242.247252747253
82,West,SMB,Tech,ERP,19310.0,1235.0,0.6,1,0.27702702702702703,5349.391891891892
83,North,SMB,Healthcare,Analytics,17116.0,1040.0,0.4,1,0.26256983240223464,4494.145251396648
84,West,Enterprise,Finance,Analytics,7517.0,897.0,0.23,0,0.27058823529411763,2034.0117647058821
85,East,Enterprise,Manufacturing,CRM,19137.0,1282.0,0.17,1,0.3241758241758242,6203.752747252747
86,East,SMB,Finance,Analytics,12926.0,765.0,0.35,0,0.3,3877.7999999999997
87,South,MidMarket,Healthcare,CRM,21782.0,547.0,0.52,0,0.3448275862068966,7511.034482758621
88,North,SMB,Healthcare,Analytics,27739.0,2512.0,0.38,0,0.26256983240223464,7283.424581005586
89,West,Enterprise,Finance,Analytics,4501.0,845.0,0.54,0,0.27058823529411763,1217.9176470588234
90,South,SMB,Retail,Analytics,17152.0,2440.0,0.07,0,0.33727810650887574,5784.994082840237
91,West,Enterprise,Retail,CRM,23166.0,2494.0,0.05,0,0.2658959537572254,6159.745664739884
92,West,MidMarket,Retail,CRM,4717.0,1845.0,0.68,0,0.2658959537572254,1254.2312138728323
93,South,MidMarket,Healthcare,ERP,29354.0,1274.0,0.28,0,0.35333333333333333,10371.746666666666
94,South,MidMarket,Tech,CRM,22659.0,863.0,0.07,0,0.3448275862068966,7813.44827586207
95,South,SMB,Healthcare,Analytics,27582.0,2342.0,0.08,0,0.33727810650887574,9302.804733727811
96,South,SMB,Tech,Analytics,16052.0,2003.0,0.48,0,0.33727810650887574,5413.988165680474
97,South,SMB,Finance,CRM,16897.0,2139.0,0.23,1,0.3448275862068966,5826.551724137931
98,West,SMB,Manufacturing,CRM,18873.0,522.0,0.3,0,0.2658959537572254,5018.254335260115
99,South,MidMarket,Tech,CRM,34967.0,2819.0,0.35,0,0.3448275862068966,12057.586206896553
100,North,SMB,Retail,ERP,29227.0,666.0,0.28,0,0.2621951219512195,7663.176829268293
101,East,SMB,Healthcare,Analytics,20926.0,1417.0,0.13,0,0.3,6277.8
102,South,Enterprise,Finance,ERP,21781.0,1507.0,0.14,0,0.35333333333333333,7695.953333333333
103,South,Enterprise,Retail,ERP,24444.0,503.0,0.48,1,0.35333333333333333,8636.88
104,West,Enterprise,Finance,Analytics,36741.0,1743.0,0.3,1,0.27058823529411763,9941.682352941176
105,South,Enterprise,Manufacturing,Analytics,22679.0,2382.0,0.35,0,0.33727810650887574,7649.130177514793
106,South,SMB,Healthcare,CRM,20322.0,2558.0,0.13,0,0.3448275862068966,7007.5862068965525
107,South,SMB,Healthcare,CRM,17630.0,2698.0,0.57,0,0.3448275862068966,6079.310344827587
108,West,MidMarket,Manufacturing,ERP,21644.0,1719.0,0.04,0,0.27702702702702703,5995.972972972973
109,South,MidMarket,Healthcare,CRM,15891.0,2077.0,0.06,0,0.3448275862068966,5479.6551724137935
110,East,SMB,Tech,CRM,23473.0,699.0,0.11,0,0.3241758241758242,7609.379120879121
111,West,Enterprise,Finance,Analytics,9972.0,1720.0,0.31,0,0.27058823529411763,2698.305882352941
112,East,SMB,Retail,Analytics,18176.0,887.0,0.36,0,0.3,5452.8
113,West,SMB,Manufacturing,CRM,25142.0,1424.0,0.49,1,0.2658959537572254,6685.156069364161
114,South,MidMarket,Tech,Analytics,22584.0,1323.0,0.26,0,0.33727810650887574,7617.08875739645
115,East,MidMarket,Retail,CRM,16762.0,1559.0,0.45,1,0.3241758241758242,5433.835164835165
116,West,MidMarket,Retail,Analytics,18376.0,1929.0,0.17,0,0.27058823529411763,4972.329411764706
117,North,SMB,Manufacturing,Analytics,27247.0,2757.0,0.16,0,0.26256983240223464,7154.2402234636875
118,South,Enterprise,Tech,Analytics,11527.0,1486.0,0.09,0,0.33727810650887574,3887.804733727811
119,West,SMB,Retail,Analytics,11568.0,2953.0,0.56,1,0.27058823529411763,3130.164705882353
120,North,SMB,Retail,CRM,13493.0,2398.0,0.21,1,0.36813186813186816,4967.203296703297
121,West,Enterprise,Tech,ERP,19925.0,1779.0,0.49,0,0.27702702702702703,5519.763513513513
122,North,Enterprise,Healthcare,Analytics,10503.0,2110.0,0.3,0,0.26256983240223464,2757.7709497206706
123,South,Enterprise,Retail,CRM,26671.0,756.0,0.42,0,0.3448275862068966,9196.896551724138
124,East,Enterprise,Finance,CRM,13530.0,2611.0,0.28,0,0.3241758241758242,4386.0989010989015
125,North,MidMarket,Tech,Analytics,21570.0,1956.0,0.53,0,0.26256983240223464,5663.631284916201
126,West,MidMarket,Retail,ERP,15946.0,2965.0,0.17,0,0.27702702702702703,4417.472972972973
127,South,SMB,Manufacturing,Analytics,19542.0,2091.0,0.51,0,0.33727810650887574,6591.08875739645
128,North,SMB,Finance,CRM,8777.0,2585.0,0.11,0,0.36813186813186816,3231.0934065934066
129,West,SMB,Retail,ERP,27009.0,2499.0,0.73,0,0.27702702702702703,7482.222972972973
130,West,SMB,Finance,CRM,13270.0,1364.0,0.52,0,0.2658959537572254,3528.439306358381
131,West,MidMarket,Finance,Analytics,12536.0,1149.0,0.34,0,0.27058823529411763,3392.0941176470587
132,North,SMB,Healthcare,ERP,36653.0,1576.0,0.47,0,0.2621951219512195,9610.237804878048
133,North,SMB,Finance,CRM,23880.0,1668.0,0.28,1,0.36813186813186816,8790.989010989011
134,North,SMB,Healthcare,CRM,26737.0,1100.0,0.67,0,0.36813186813186816,9842.741758241758
135,East,MidMarket,Tech,CRM,23212.0,2736.0,0.66,0,0.3241758241758242,7524.769230769231
136,North,SMB,Healthcare,Analytics,16833.0,1856.0,0.13,0,0.26256983240223464,4419.8379888268155
137,North,Enterprise,Manufacturing,ERP,10852.0,2946.0,0.06,1,0.2621951219512195,2845.3414634146343
138,North,SMB,Retail,Analytics,17908.0,2525.0,0.36,0,0.26256983240223464,4702.100558659218
139,East,SMB,Tech,Analytics,13153.0,1889.0,0.24,1,0.3,3945.8999999999996
140,North,MidMarket,Tech,Analytics,13573.0,2868.0,0.5,0,0.26256983240223464,3563.8603351955308
141,West,Enterprise,Manufacturing,ERP,8918.0,1762.0,0.5,0,0.27702702702702703,2470.527027027027
142,North,SMB,Healthcare,Analytics,20801.0,2718.0,0.24,0,0.26256983240223464,5461.715083798883
143,West,MidMarket,Retail,Analytics,31014.0,1395.0,0.27,0,0.27058823529411763,8392.023529411765
144,West,MidMarket,Healthcare,Analytics,23907.0,1447.0,0.27,0,0.27058823529411763,6468.95294117647
145,West,SMB,Finance,Analytics,19259.0,1545.0,0.08,0,0.27058823529411763,5211.2588235294115
146,East,Enterprise,Healthcare,CRM,19716.0,1867.0,0.4,0,0.3241758241758242,6391.45054945055
147,East,MidMarket,Tech,Analytics,2000.0,1884.0,0.24,0,0.3,600.0
148,East,MidMarket,Retail,CRM,17033.0,1741.0,0.23,0,0.3241758241758242,5521.686813186813
149,North,Enterprise,Healthcare,Analytics,10013.0,1265.0,0.21,0,0.26256983240223464,2629.1117318435754
150,West,Enterprise,Retail,ERP,20941.0,2818.0,0.23,0,0.27702702702702703,5801.222972972973
151,East,MidMarket,Retail,CRM,18180.0,1971.0,0.33,0,0.3241758241758242,5893.516483516484
152,East,Enterprise,Finance,CRM,13915.0,1519.0,0.11,0,0.3241758241758242,4510.906593406594
153,North,MidMarket,Finance,CRM,20783.0,2128.0,0.41,0,0.36813186813186816,7650.884615384616
154,East,MidMarket,Tech,CRM,20723.0,2420.0,0.14,0,0.3241758241758242,6717.895604395605
155,North,MidMarket,Manufacturing,ERP,30630.0,2902.0,0.16,0,0.2621951219512195,8031.036585365854
156,South,MidMarket,Retail,Analytics,24805.0,1749.0,0.5,0,0.33727810650887574,8366.183431952662
157,East,SMB,Manufacturing,CRM,21519.0,780.0,0.25,0,0.3241758241758242,6975.93956043956
158,South,Enterprise,Tech,ERP,13367.0,1602.0,0.32,0,0.35333333333333333,4723.006666666666
159,North,Enterprise,Retail,CRM,12486.0,1697.0,0.25,1,0.36813186813186816,4596.494505494506
160,West,SMB,Retail,Analytics,24192.0,2742.0,0.1,0,0.27058823529411763,6546.070588235294
161,East,Enterprise,Manufacturing,CRM,18600.0,1487.0,0.35,0,0.3241758241758242,6029.67032967033
162,North,SMB,Healthcare,ERP,21746.0,2883.0,0.18,1,0.2621951219512195,5701.695121951219
163,West,SMB,Finance,Analytics,26846.0,1713.0,0.14,0,0.27058823529411763,7264.211764705882
164,West,MidMarket,Healthcare,ERP,9408.0,2934.0,0.57,1,0.27702702702702703,2606.2702702702704
165,South,SMB,Manufacturing,Analytics,29779.0,520.0,0.4,0,0.33727810650887574,10043.804733727811
166,North,Enterprise,Finance,Analytics,26786.0,2747.0,0.22,0,0.26256983240223464,7033.195530726257
167,West,Enterprise,Healthcare,Analytics,5619.0,2828.0,0.52,0,0.27058823529411763,1520.435294117647
168,East,MidMarket,Finance,CRM,36472.0,2903.0,0.69,1,0.3241758241758242,11823.34065934066
169,East,SMB,Retail,ERP,22250.0,533.0,0.42,0,0.28402366863905326,6319.526627218935
170,South,SMB,Healthcare,ERP,16650.0,929.0,0.07,0,0.35333333333333333,5883.0
171,West,MidMarket,Finance,ERP,23633.0,2134.0,0.25,0,0.27702702702702703,6546.97972972973
172,North,Enterprise,Finance,Analytics,13158.0,564.0,0.16,0,0.26256983240223464,3454.893854748603
173,East,MidMarket,Finance,CRM,23823.0,659.0,0.12,0,0.3241758241758242,7722.84065934066
174,West,SMB,Healthcare,Analytics,14446.0,1053.0,0.3,0,0.27058823529411763,3908.917647058823
175,West,MidMarket,Tech,ERP,34143.0,1781.0,0.17,0,0.27702702702702703,9458.533783783783
176,South,MidMarket,Healthcare,CRM,20421.0,1865.0,0.28,0,0.3448275862068966,7041.724137931035
177,East,MidMarket,Manufacturing,CRM,24549.0,586.0,0.45,1,0.3241758241758242,7958.192307692308
178,East,SMB,Healthcare,CRM,14498.0,926.0,0.11,0,0.3241758241758242,4699.901098901099
179,North,MidMarket,Finance,ERP,25715.0,1749.0,0.4,1,0.2621951219512195,6742.34756097561
180,East,MidMarket,Retail,CRM,19912.0,1985.0,0.34,0,0.3241758241758242,6454.989010989011
181,North,Enterprise,Healthcare,CRM,10117.0,871.0,0.18,0,0.36813186813186816,3724.39010989011
182,East,SMB,Healthcare,Analytics,18329.0,1497.0,0.39,0,0.3,5498.7
183,South,MidMarket,Finance,Analytics,33518.0,2761.0,0.44,0,0.33727810650887574,11304.887573964497
184,East,Enterprise,Retail,CRM,26013.0,2997.0,0.38,0,0.3241758241758242,8432.785714285714
185,North,SMB,Retail,CRM,17347.0,2968.0,0.37,1,0.36813186813186816,6385.983516483517
186,North,Enterprise,Manufacturing,Analytics,6916.0,2704.0,0.02,0,0.26256983240223464,1815.9329608938547
187,South,MidMarket,Healthcare,Analytics,14173.0,1487.0,0.2,0,0.33727810650887574,4780.242603550296
188,East,SMB,Retail,Analytics,10155.0,2216.0,0.29,0,0.3,3046.5
189,East,SMB,Retail,ERP,7085.0,1541.0,0.18,0,0.28402366863905326,2012.3076923076924
190,South,MidMarket,Tech,ERP,25499.0,2121.0,0.32,0,0.35333333333333333,9009.646666666667
191,East,SMB,Tech,Analytics,20437.0,1274.0,0.21,1,0.3,6131.099999999999
192,East,MidMarket,Retail,CRM,32566.0,2016.0,0.2,0,0.3241758241758242,10557.10989010989
193,North,SMB,Manufacturing,Analytics,13017.0,1809.0,0.13,0,0.26256983240223464,3417.8715083798884
194,East,MidMarket,Retail,ERP,19984.0,561.0,0.1,0,0.28402366863905326,5675.92899408284
195,East,SMB,Finance,CRM,10241.0,2477.0,0.13,0,0.3241758241758242,3319.8846153846157
196,South,Enterprise,Healthcare,ERP,15836.0,530.0,0.34,1,0.35333333333333333,5595.386666666666
197,South,Enterprise,Manufacturing,CRM,18445.0,1233.0,0.19,0,0.3448275862068966,6360.344827586207
198,West,Enterprise,Finance,ERP,17377.0,515.0,0.26,0,0.27702702702702703,4813.898648648648
199,North,MidMarket,Manufacturing,CRM,20375.0,1441.0,0.17,1,0.36813186813186816,7500.686813186814
200,East,SMB,Finance,CRM,26801.0,658.0,0.48,0,0.3241758241758242,8688.236263736264
201,East,MidMarket,Healthcare,CRM,26065.0,2784.0,0.11,0,0.3241758241758242,8449.642857142857
202,West,SMB,Healthcare,CRM,14615.0,1539.0,0.49,0,0.2658959537572254,3886.0693641618495
203,East,SMB,Tech,ERP,19788.0,1649.0,0.16,0,0.28402366863905326,5620.260355029586
204,North,SMB,Finance,ERP,25559.0,1375.0,0.05,0,0.2621951219512195,6701.445121951219
205,West,SMB,Tech,CRM,27250.0,2069.0,0.39,0,0.2658959537572254,7245.6647398843925
206,North,MidMarket,Finance,CRM,15372.0,2461.0,0.33,1,0.36813186813186816,5658.923076923077
207,West,MidMarket,Tech,ERP,24957.0,2120.0,0.05,0,0.27702702702702703,6913.763513513513
208,West,SMB,Healthcare,CRM,22318.0,2371.0,0.25,0,0.2658959537572254,5934.265895953757
209,South,SMB,Manufacturing,CRM,12538.0,2765.0,0.4,0,0.3448275862068966,4323.448275862069
210,North,Enterprise,Tech,CRM,25601.0,2659.0,0.22,0,0.36813186813186816,9424.543956043957
211,East,SMB,Finance,Analytics,21061.0,2185.0,0.11,0,0.3,6318.3
212,East,SMB,Finance,CRM,7810.0,1037.0,0.52,1,0.3241758241758242,2531.813186813187
213,North,SMB,Healthcare,Analytics,17943.0,2094.0,0.13,0,0.26256983240223464,4711.290502793296
214,East,MidMarket,Finance,CRM,20279.0,1765.0,0.42,0,0.3241758241758242,6573.961538461539
215,East,MidMarket,Retail,ERP,15759.0,2293.0,0.33,0,0.28402366863905326,4475.92899408284
216,North,SMB,Manufacturing,Analytics,28598.0,2582.0,0.37,1,0.26256983240223464,7508.972067039106
217,West,SMB,Tech,Analytics,28851.0,2357.0,0.35,0,0.27058823529411763,7806.741176470588
218,North,MidMarket,Manufacturing,CRM,17323.0,2616.0,0.29,0,0.36813186813186816,6377.148351648352
219,West,MidMarket,Healthcare,CRM,16554.0,660.0,0.33,0,0.2658959537572254,4401.641618497109
220,East,SMB,Tech,Analytics,19081.0,579.0,0.4,1,0.3,5724.3
221,East,Enterprise,Tech,ERP,18599.0,1146.0,0.35,1,0.28402366863905326,5282.556213017751
222,East,SMB,Retail,ERP,15852.0,2752.0,0.29,1,0.28402366863905326,4502.343195266272
223,South,SMB,Healthcare,CRM,2000.0,2559.0,0.35,1,0.3448275862068966,689.6551724137931
224,West,Enterprise,Finance,ERP,32284.0,2207.0,0.56,0,0.27702702702702703,8943.54054054054
225,South,SMB,Retail,ERP,20003.0,2252.0,0.9,0,0.35333333333333333,7067.7266666666665
226,South,MidMarket,Retail,CRM,18752.0,2317.0,0.19,0,0.3448275862068966,6466.206896551725
227,North,SMB,Manufacturing,ERP,22276.0,2857.0,0.5,0,0.2621951219512195,5840.658536585366
228,South,SMB,Manufacturing,CRM,19440.0,2580.0,0.59,0,0.3448275862068966,6703.44827586207
229,North,Enterprise,Manufacturing,Analytics,16988.0,2058.0,0.08,1,0.26256983240223464,4460.536312849162
230,North,SMB,Retail,CRM,12960.0,2164.0,0.33,0,0.36813186813186816,4770.989010989011
231,South,Enterprise,Finance,Analytics,7130.0,1034.0,0.34,0,0.33727810650887574,2404.792899408284
232,West,SMB,Tech,Analytics,10519.0,2143.0,0.63,1,0.27058823529411763,2846.3176470588232
233,West,SMB,Manufacturing,ERP,12183.0,1562.0,0.4,0,0.27702702702702703,3375.0202702702704
234,West,SMB,Finance,ERP,24556.0,882.0,0.06,0,0.27702702702702703,6802.675675675676
235,West,MidMarket,Healthcare,ERP,25072.0,2516.0,0.46,0,0.27702702702702703,6945.621621621622
236,West,SMB,Manufacturing,CRM,13827.0,1776.0,0.17,0,0.2658959537572254,3676.5433526011557
237,South,Enterprise,Tech,ERP,2000.0,2944.0,0.04,1,0.35333333333333333,706.6666666666666
238,South,SMB,Healthcare,Analytics,20064.0,1204.0,0.65,0,0.33727810650887574,6767.147928994083
239,East,Enterprise,Healthcare,ERP,17049.0,1702.0,0.18,1,0.28402366863905326,4842.319526627219
240,West,SMB,Tech,ERP,16876.0,1620.0,0.04,0,0.27702702702702703,4675.108108108108
241,South,Enterprise,Manufacturing,CRM,26692.0,802.0,0.27,0,0.3448275862068966,9204.137931034484
242,East,MidMarket,Retail,CRM,20971.0,1565.0,0.25,0,0.3241758241758242,6798.291208791209
243,West,MidMarket,Tech,Analytics,13165.0,1219.0,0.34,0,0.27058823529411763,3562.2941176470586
244,North,Enterprise,Tech,CRM,11555.0,901.0,0.29,0,0.36813186813186816,4253.763736263737
245,East,MidMarket,Tech,ERP,18162.0,1205.0,0.09,0,0.28402366863905326,5158.4378698224855
246,South,MidMarket,Healthcare,CRM,13655.0,1083.0,0.22,0,0.3448275862068966,4708.620689655173
247,North,SMB,Finance,Analytics,19493.0,2335.0,0.33,0,0.26256983240223464,5118.27374301676
248,North,SMB,Retail,ERP,27183.0,577.0,0.28,0,0.2621951219512195,7127.25
249,North,Enterprise,Manufacturing,Analytics,10342.0,2044.0,0.13,0,0.26256983240223464,2715.4972067039107
250,East,MidMarket,Manufacturing,CRM,20614.0,2402.0,0.6,0,0.3241758241758242,6682.56043956044
251,South,MidMarket,Finance,CRM,26405.0,1702.0,0.29,0,0.3448275862068966,9105.172413793103
252,North,SMB,Tech,Analytics,19397.0,2829.0,0.05,1,0.26256983240223464,5093.067039106145
253,West,SMB,Retail,ERP,25051.0,2270.0,0.26,1,0.27702702702702703,6939.804054054054
254,North,SMB,Manufacturing,CRM,17989.0,2370.0,0.29,1,0.36813186813186816,6622.324175824177
255,North,MidMarket,Manufacturing,CRM,21196.0,992.0,0.67,1,0.36813186813186816,7802.923076923077
256,East,SMB,Tech,ERP,23085.0,2443.0,0.3,0,0.28402366863905326,6556.6863905325445
257,East,SMB,Finance,CRM,15996.0,2580.0,0.12,0,0.3241758241758242,5185.516483516484
258,South,SMB,Retail,Analytics,33935.0,1403.0,0.49,1,0.33727810650887574,11445.532544378699
259,West,SMB,Finance,CRM,24043.0,1033.0,0.57,0,0.2658959537572254,6392.936416184971
260,East,MidMarket,Finance,CRM,29121.0,1463.0,0.19,0,0.3241758241758242,9440.324175824177
261,North,SMB,Retail,ERP,27497.0,2349.0,0.03,1,0.2621951219512195,7209.579268292683
262,South,MidMarket,Retail,Analytics,22291.0,1544.0,0.45,0,0.33727810650887574,7518.266272189349
263,North,SMB,Manufacturing,ERP,29701.0,2342.0,0.36,0,0.2621951219512195,7787.457317073171
264,North,SMB,Manufacturing,CRM,21315.0,784.0,0.13,0,0.36813186813186816,7846.7307692307695
265,East,SMB,Retail,CRM,14892.0,2515.0,0.75,0,0.3241758241758242,4827.626373626374
266,South,SMB,Healthcare,ERP,20104.0,1133.0,0.46,1,0.35333333333333333,7103.413333333333
267,West,SMB,Manufacturing,ERP,12957.0,1122.0,0.11,0,0.27702702702702703,3589.439189189189
268,West,SMB,Healthcare,ERP,5288.0,1976.0,0.59,1,0.27702702702702703,1464.918918918919
269,East,MidMarket,Retail,Analytics,14032.0,675.0,0.27,1,0.3,4209.599999999999
270,East,SMB,Manufacturing,CRM,20510.0,566.0,0.14,0,0.3241758241758242,6648.846153846154
271,South,MidMarket,Finance,ERP,27433.0,1153.0,0.2,0,0.35333333333333333,9692.993333333334
272,West,Enterprise,Retail,CRM,14011.0,1845.0,0.09,0,0.2658959537572254,3725.4682080924854
273,West,MidMarket,Tech,Analytics,27071.0,2769.0,0.12,1,0.27058823529411763,7325.094117647059
